id товара из сайта,наименование,ссылка на товар,регулярная цена,промо цена,бренд
85132,"Батончик Bounty шоколадный с мякотью кокоса, 55г x 32 шт",https://online.metro-cc.ru/products/bounty-s-myakotyu-kokosa-v-molochnmm-55g-h-32sht,1500.8,,BOUNTY
425730,"Набор подарочный Kinder Mix с игрушкой, 138г",https://online.metro-cc.ru/products/kinder-s-igrushkoj-mix-1375g,1019,,KINDER
604988,"Батончик Snickers Super шоколадный, 80г",https://online.metro-cc.ru/products/80g-snickers-super,73.9,59.9,SNICKERS
93545,"Конфеты Ferrero Rocher шоколадные, 200г",https://online.metro-cc.ru/products/hrustyaschie-ferrero-rocher-iz-molochnogo-shokolada-pokrytye-izmelchennymi-oreshkami-s-nachinkoj-iz-krema-lesnogo-oreha-200g,649,529,FERRERO
454983631,"Халва Рот Фронт с шоколадной глазурью, 370г",https://online.metro-cc.ru/products/370g-konfety-rot-front-halva-v-shokoladnoy-glazuri,293,239,РОТ ФРОНТ
208375,"Шоколад Kinder Chocolate молочный 8 порций, 100г",https://online.metro-cc.ru/products/shokolad-molochnyj-kinder-reg-chocolate-s-molochnoj-nachinkoj-100g,146,,KINDER
217776129,"Набор Барни подарочный пинкник микс, 370г",https://online.metro-cc.ru/products/370g-pn-oreobarni-piknik-miks-nabor,539,,БАРНИ
392432,"Конфеты Рот Фронт Птичье молоко в шоколаде, 200г",https://online.metro-cc.ru/products/rotfront-ptichye-moloko-v-shokolade-200g,229,159,РОТ ФРОНТ
188416,"Мармелад Bon Pari Кислые червячки жевательный, 75г",https://online.metro-cc.ru/products/bon-pari-kislye-chervyachki-75g-287771,54.9,45.9,BON PARI
236424,"Шоколад Ritter Sport молочный ром-изюм-орех, 100г",https://online.metro-cc.ru/products/ritter-sport-molochnyj-rom-izyum-oreh-100g,149,109,RITTER SPORT
620022,"Драже M&M's с молочным шоколадом, 80г",https://online.metro-cc.ru/products/80g-drazhe-m-m-039s-s-molochnym,117,89.9,M&M'S
601241343,"Набор подарочный Мосупак Дракончик сладкоежка подарок, 400г",https://online.metro-cc.ru/products/400g-pn-mosupak-podarok-drakonchik-sladkoezhka,319,,МОСУПАК
184775,"Шоколад Бабаевский со сливочной начинкой, 50г",https://online.metro-cc.ru/products/babaevskij-so-slivochnoj-nachinkoj-50g,40,29.9,БАБАЕВСКИЙ
154027,"RIOBA Карамель мини со вкусом фруктов, 500г",https://online.metro-cc.ru/products/rioba-karamel-mini-so-vkusom-fruktov-500g,399,,RIOBA
187662,"Конфеты Ferrero Rocher Конус хрустящие из молочного шоколада, 350г",https://online.metro-cc.ru/products/ferrero-rocher-shokoladnye-konus-350g,1649,,FERRERO
577005,"Конфеты Родные Просторы с фундуком ГОСТ, 180г",https://online.metro-cc.ru/products/konfety-rodnye-prostory-s-fundukom-gost-180g,202,169,РОДНЫЕ ПРОСТОРЫ
98025,"Конфеты Merci шоколадные ассорти из молочного шоколада, 250г",https://online.metro-cc.ru/products/merci-shokoladnye-assorti-iz-molochnogo-shokolada-250g,469,379,MERCI
208472,"Батончик Mars Minis шоколадный с нугой и карамелью, 182г",https://online.metro-cc.ru/products/mars-minis-180g-332931,192,169,MARS
118197,"Батончик Bounty Трио шоколадный, 83г",https://online.metro-cc.ru/products/bounty-trio-825g-401982,73.9,59.9,BOUNTY
93064,"Конфеты Merci шоколадные ассорти из горького шоколада, 250г",https://online.metro-cc.ru/products/merci-shokoladnye-assorti-iz-gorkogo-shokolada-250g,469,379,MERCI
593659,"Шоколад Milka Bubbles молочный пористый, 76г",https://online.metro-cc.ru/products/milka-bubbles-shokolad-molochnyj-poristyj-76g,109,84.9,MILKA
412412,"Шоколад Bucheron горький с миндалем, клюквой и фисташками 72% какао, 100г",https://online.metro-cc.ru/products/bucheron-gorkij-s-mindalem-klyukvoj-fistashkami-72-kakao-100g,221,,BUCHERON
8514397,"METRO Chef Печенье Савоярди, 500г",https://online.metro-cc.ru/products/metro-chef-pechene-savoyardi-500g,479,,METRO CHEF
173450,"Шоколад Ritter Sport молочный Альпийское молоко, 100г",https://online.metro-cc.ru/products/ritter-sport-molochnyj-alpijskoe-moloko-100g,149,109,RITTER SPORT
540129,"Мармелад Bon Pari Веселые кошмарики жевательный, 75г",https://online.metro-cc.ru/products/bon-pari-veselye-koshmariki-zhevatelnyj-75g,54.9,45.9,BON PARI
560076,"Печенье Полет овсяное с кусочками шоколада, 600г",https://online.metro-cc.ru/products/pechenye-polet-ovsyanoe-s-kusochkami-shokolada-600-g,286,,ПОЛЕТ
527799,"Набор конфет Комильфо Фисташка, 232г",https://online.metro-cc.ru/products/komilfor-fistashka-shokoladnye-s-dvuhslojnoj-nachinkoj-232g,569,499,КОМИЛЬФО
156300,"Батончик Mars Max шоколадный, 81г",https://online.metro-cc.ru/products/art_453148,73.9,59.9,MARS
161159,"Шоколад Бабаевский с шоколадной начинкой, 50г",https://online.metro-cc.ru/products/babaevskij-nachinkoj-50g,40,29.9,БАБАЕВСКИЙ
223835,"Шоколадное яйцо Kinder Surprise ApplayDu, 20г",https://online.metro-cc.ru/products/yajco-kinder-syurpriz-iz-molochnogo-c-molochnym-vnutrennim-sloem-igrushkoj-vnutri-nbsp-zhivotnye-natoons-20gh36sht,107,,KINDER SURPRISE
469373,"Печенье Belvita Утреннее с какао, 225г",https://online.metro-cc.ru/products/belvita-utrennee-kakao-225g,149,115,BELVITA
595932033,"Конфеты A.Korkunov в темном и молочном шоколаде ассорти, 165г",https://online.metro-cc.ru/products/165g-konfety-korkunov-temnyymolochnyy-shokolad-assorti,569,329,A.KORKUNOV
220903,"Мармелад Bon Pari машинки, 75г",https://online.metro-cc.ru/products/bon-pari-mashinki-75-g-287774,54.9,45.9,BON PARI
595935528,"Конфеты A.Korkunov молочный шоколад ассорти, 165г",https://online.metro-cc.ru/products/165g-konfety-korkunov-molochnyy-shokolad-assorti,569,329,A.KORKUNOV
